x,mu2,time_per_call_ns
0.0001,4,447
0.0001,5,491
0.0001,10,434
0.0001,20,403
0.0001,50,443
0.0001,100,443
0.0001,200,485
0.0001,500,474
0.0001,1000,444
0.0001,2000,431
0.0001,5000,419
0.001,4,460
0.001,5,475
0.001,10,468
0.001,20,404
0.001,50,431
0.001,100,453
0.001,200,439
0.001,500,441
0.001,1000,442
0.001,2000,452
0.001,5000,482
0.01,4,414
0.01,5,405
0.01,10,443
0.01,20,372
0.01,50,480
0.01,100,466
0.01,200,486
0.01,500,465
0.01,1000,418
0.01,2000,442
0.01,5000,458
