x,kt2,mu2,time_per_call_ns
0.001,2000,1000,764
0.001,2000,2000,837
0.001,2000,5000,919
0.001,5000,4,849
0.001,5000,5,1004
0.001,5000,10,836
0.001,5000,20,913
0.001,5000,50,935
0.001,5000,100,823
0.001,5000,200,929
0.001,5000,500,910
0.001,5000,1000,852
0.001,5000,2000,919
0.001,5000,5000,964
0.01,1,4,824
0.01,1,5,863
0.01,1,10,1130
0.01,1,20,894
0.01,1,50,986
0.01,1,100,794
0.01,1,200,908
0.01,1,500,904
0.01,1,1000,827
0.01,1,2000,897
0.01,1,5000,935
0.01,2,4,780
0.01,2,5,839
0.01,2,10,739
0.01,2,20,825
0.01,2,50,774
0.01,2,100,718
0.01,2,200,792
0.01,2,500,769
0.01,2,1000,725
0.01,2,2000,828
0.01,2,5000,793
0.01,5,4,924
0.01,5,5,945
0.01,5,10,815
0.01,5,20,945
0.01,5,50,866
0.01,5,100,793
0.01,5,200,1011
0.01,5,500,869
0.01,5,1000,825
0.01,5,2000,984
0.01,5,5000,1027
0.01,10,4,792
0.01,10,5,824
0.01,10,10,746
0.01,10,20,892
0.01,10,50,807
0.01,10,100,743
0.01,10,200,888
0.01,10,500,837
0.01,10,1000,761
0.01,10,2000,897
0.01,10,5000,867
0.01,20,4,836
0.01,20,5,941
0.01,20,10,802
0.01,20,20,873
0.01,20,50,856
0.01,20,100,782
0.01,20,200,967
0.01,20,500,863
0.01,20,1000,809
0.01,20,2000,909
0.01,20,5000,917
0.01,50,4,825
0.01,50,5,847
0.01,50,10,896
0.01,50,20,905
0.01,50,50,908
0.01,50,100,786
0.01,50,200,993
0.01,50,500,1191
0.01,50,1000,857
0.01,50,2000,916
0.01,50,5000,893
0.01,100,4,789
0.01,100,5,835
0.01,100,10,779
0.01,100,20,849
0.01,100,50,852
0.01,100,100,766
0.01,100,200,847
0.01,100,500,895
0.01,100,1000,814
0.01,100,2000,868
0.01,100,5000,893
0.01,200,4,848
0.01,200,5,859
0.01,200,10,830
0.01,200,20,998
0.01,200,50,855
0.01,200,100,779
0.01,200,200,914
0.01,200,500,867
0.01,200,1000,782
0.01,200,2000,880
0.01,200,5000,882
0.01,500,4,827
0.01,500,5,847
0.01,500,10,775
0.01,500,20,1234
0.01,500,50,899
0.01,500,100,758
0.01,500,200,895
0.01,500,500,847
0.01,500,1000,835
0.01,500,2000,964
0.01,500,5000,884
0.01,1000,4,856
0.01,1000,5,866
0.01,1000,10,791
0.01,1000,20,923
0.01,1000,50,900
0.01,1000,100,797
0.01,1000,200,910
0.01,1000,500,899
0.01,1000,1000,813
0.01,1000,2000,936
0.01,1000,5000,905
0.01,2000,4,775
0.01,2000,5,811
0.01,2000,10,761
0.01,2000,20,814
0.01,2000,50,891
0.01,2000,100,725
0.01,2000,200,822
0.01,2000,500,787
0.01,2000,1000,769
0.01,2000,2000,837
0.01,2000,5000,828
0.01,5000,4,1096
0.01,5000,5,959
0.01,5000,10,815
0.01,5000,20,887
0.01,5000,50,881
0.01,5000,100,811
0.01,5000,200,916
0.01,5000,500,921
0.01,5000,1000,812
0.01,5000,2000,908
0.01,5000,5000,968
0.1,1,4,871
0.1,1,5,906
0.1,1,10,866
0.1,1,20,923
0.1,1,50,898
0.1,1,100,837
0.1,1,200,971
0.1,1,500,940
0.1,1,1000,842
0.1,1,2000,891
0.1,1,5000,982
0.1,2,4,797
0.1,2,5,828
0.1,2,10,784
0.1,2,20,834
0.1,2,50,829
0.1,2,100,787
0.1,2,200,891
0.1,2,500,1109
0.1,2,1000,866
0.1,2,2000,855
0.1,2,5000,855
0.1,5,4,852
0.1,5,5,893
0.1,5,10,843
0.1,5,20,917
0.1,5,50,923
0.1,5,100,918
0.1,5,200,930
0.1,5,500,900
0.1,5,1000,885
0.1,5,2000,924
0.1,5,5000,914
0.1,10,4,968
0.1,10,5,844
0.1,10,10,809
0.1,10,20,886
0.1,10,50,873
