x,kt2,mu2,time_per_call_ns
0.001,1000,5,4324
0.001,1000,10,3764
0.001,1000,20,4000
0.001,1000,50,3763
0.001,1000,100,3980
0.001,1000,200,3856
0.001,1000,500,4438
0.001,1000,1000,3813
0.001,1000,2000,3896
0.001,1000,5000,4052
0.001,2000,4,3792
0.001,2000,5,3834
0.001,2000,10,3789
0.001,2000,20,4342
0.001,2000,50,3845
0.001,2000,100,3855
0.001,2000,200,3940
0.001,2000,500,3821
0.001,2000,1000,3805
0.001,2000,2000,3922
0.001,2000,5000,4319
0.001,5000,4,3802
0.001,5000,5,3772
0.001,5000,10,3890
0.001,5000,20,3889
0.001,5000,50,4105
0.001,5000,100,4401
0.001,5000,200,3852
0.001,5000,500,3848
0.001,5000,1000,3800
0.001,5000,2000,3840
0.001,5000,5000,3826
0.01,1,4,3858
0.01,1,5,4177
0.01,1,10,3700
0.01,1,20,3883
0.01,1,50,4047
0.01,1,100,3810
0.01,1,200,4066
0.01,1,500,3764
0.01,1,1000,33386
0.01,1,2000,3757
0.01,1,5000,3887
0.01,2,4,3930
0.01,2,5,3928
0.01,2,10,3906
0.01,2,20,4424
0.01,2,50,3952
0.01,2,100,3831
0.01,2,200,3829
0.01,2,500,3798
0.01,2,1000,3917
0.01,2,2000,3850
0.01,2,5000,4574
0.01,5,4,3791
0.01,5,5,3981
0.01,5,10,3739
0.01,5,20,3920
0.01,5,50,3931
0.01,5,100,4210
0.01,5,200,3812
0.01,5,500,3857
0.01,5,1000,3979
0.01,5,2000,3805
0.01,5,5000,3794
0.01,10,4,3873
0.01,10,5,4304
0.01,10,10,3748
0.01,10,20,3831
0.01,10,50,3962
0.01,10,100,4048
0.01,10,200,3936
0.01,10,500,3893
0.01,10,1000,4069
0.01,10,2000,3968
0.01,10,5000,3822
0.01,20,4,3828
0.01,20,5,3872
0.01,20,10,3815
0.01,20,20,4223
0.01,20,50,3897
0.01,20,100,4088
0.01,20,200,3850
0.01,20,500,3728
0.01,20,1000,3997
0.01,20,2000,4143
0.01,20,5000,4411
0.01,50,4,3815
0.01,50,5,3809
0.01,50,10,3844
0.01,50,20,3841
0.01,50,50,3833
0.01,50,100,4336
0.01,50,200,3959
0.01,50,500,3735
0.01,50,1000,3892
0.01,50,2000,3955
0.01,50,5000,3757
0.01,100,4,3652
0.01,100,5,4110
0.01,100,10,3848
0.01,100,20,3743
0.01,100,50,3677
0.01,100,100,3865
0.01,100,200,3881
0.01,100,500,3624
0.01,100,1000,4136
0.01,100,2000,3830
0.01,100,5000,3857
0.01,200,4,3710
0.01,200,5,3780
0.01,200,10,4094
0.01,200,20,4142
0.01,200,50,4162
0.01,200,100,3939
0.01,200,200,3833
0.01,200,500,3848
0.01,200,1000,3876
0.01,200,2000,3944
0.01,200,5000,4447
0.01,500,4,3698
0.01,500,5,3741
0.01,500,10,33431
0.01,500,20,3856
0.01,500,50,3818
0.01,500,100,3795
0.01,500,200,4292
0.01,500,500,3813
0.01,500,1000,3859
0.01,500,2000,3734
0.01,500,5000,3855
0.01,1000,4,3864
0.01,1000,5,3862
0.01,1000,10,3994
0.01,1000,20,3853
0.01,1000,50,3948
0.01,1000,100,3860
0.01,1000,200,4001
0.01,1000,500,3797
0.01,1000,1000,4399
0.01,1000,2000,3792
0.01,1000,5000,3815
0.01,2000,4,3863
0.01,2000,5,3878
0.01,2000,10,3728
0.01,2000,20,4087
0.01,2000,50,4380
0.01,2000,100,3865
0.01,2000,200,3931
0.01,2000,500,3794
0.01,2000,1000,4129
0.01,2000,2000,3792
0.01,2000,5000,4143
0.01,5000,4,3720
0.01,5000,5,4050
0.01,5000,10,3740
0.01,5000,20,3902
0.01,5000,50,3942
0.01,5000,100,3903
0.01,5000,200,4181
0.01,5000,500,3866
0.01,5000,1000,3977
0.01,5000,2000,3745
0.01,5000,5000,3873
0.1,1,4,5368
0.1,1,5,4657
0.1,1,10,3738
0.1,1,20,3886
0.1,1,50,3967
0.1,1,100,3854
0.1,1,200,3764
0.1,1,500,3784
0.1,1,1000,4167
0.1,1,2000,3808
0.1,1,5000,3727
0.1,2,4,3892
0.1,2,5,4067
0.1,2,10,3708
0.1,2,20,5332
0.1,2,50,4185
0.1,2,100,3942
0.1,2,200,3790
0.1,2,500,3811
0.1,2,1000,4097
0.1,2,2000,4438
0.1,2,5000,4206
0.1,5,4,3883
0.1,5,5,4034
0.1,5,10,3756
0.1,5,20,3917
0.1,5,50,4228
0.1,5,100,4253
0.1,5,200,3886
0.1,5,500,3777
0.1,5,1000,4050
0.1,5,2000,3834
0.1,5,5000,3843
0.1,10,4,3963
0.1,10,5,4180
0.1,10,10,3791
0.1,10,20,3856
0.1,10,50,3973
0.1,10,100,3841
0.1,10,200,33237
0.1,10,500,4226
0.1,10,1000,3862
0.1,10,2000,3785
0.1,10,5000,3914
0.1,20,4,3834
0.1,20,5,3781
0.1,20,10,3787
0.1,20,20,4336
0.1,20,50,3995
0.1,20,100,3883
0.1,20,200,3821
0.1,20,500,3778
0.1,20,1000,3950
0.1,20,2000,4146
0.1,20,5000,3878
0.1,50,4,3905
0.1,50,5,4068
0.1,50,10,3803
0.1,50,20,3929
0.1,50,50,3835
0.1,50,100,4398
0.1,50,200,3813
0.1,50,500,3779
0.1,50,1000,3920
0.1,50,2000,3787
0.1,50,5000,3755
0.1,100,4,3869
0.1,100,5,4417
0.1,100,10,3661
0.1,100,20,3716
0.1,100,50,3882
0.1,100,100,3864
0.1,100,200,3758
0.1,100,500,4070
0.1,100,1000,3866
0.1,100,2000,3920
0.1,100,5000,3730
0.1,200,4,3878
0.1,200,5,3827
0.1,200,10,3996
0.1,200,20,4206
0.1,200,50,3863
0.1,200,100,3903
0.1,200,200,3880
0.1,200,500,3748
0.1,200,1000,3888
0.1,200,2000,4040
0.1,200,5000,4165
0.1,500,4,3666
0.1,500,5,3891
0.1,500,10,3986
0.1,500,20,3868
0.1,500,50,3751
0.1,500,100,4383
0.1,500,200,3917
0.1,500,500,3638
0.1,500,1000,3866
0.1,500,2000,3898
0.1,500,5000,3871
0.1,1000,4,3752
0.1,1000,5,4320
0.1,1000,10,3763
0.1,1000,20,3878
0.1,1000,50,3817
0.1,1000,100,3871
0.1,1000,200,3969
0.1,1000,500,3688
0.1,1000,1000,4169
0.1,1000,2000,3855
0.1,1000,5000,4034
0.1,2000,4,3777
0.1,2000,5,3802
0.1,2000,10,4009
0.1,2000,20,4456
0.1,2000,50,3837
0.1,2000,100,4042
0.1,2000,200,3898
0.1,2000,500,3835
0.1,2000,1000,3947
0.1,2000,2000,3830
0.1,2000,5000,4509
0.1,5000,4,3781
0.1,5000,5,33434
0.1,5000,10,3922
0.1,5000,20,3870
0.1,5000,50,3778
0.1,5000,100,4295
0.1,5000,200,3889
0.1,5000,500,3804
0.1,5000,1000,3847
0.1,5000,2000,3832
0.1,5000,5000,3837
0.2,1,4,3892
0.2,1,5,4186
0.2,1,10,3868
0.2,1,20,3868
0.2,1,50,4005
0.2,1,100,3798
0.2,1,200,4063
0.2,1,500,4329
0.2,1,1000,4131
0.2,1,2000,5750
0.2,1,5000,3955
0.2,2,4,3844
0.2,2,5,3816
0.2,2,10,4156
0.2,2,20,4393
0.2,2,50,3937
0.2,2,100,3928
0.2,2,200,4237
0.2,2,500,4750
0.2,2,1000,3865
